item_id,reviewer_role,human_reviewer,status,accept_json,gold_json,evidence,rationale,usefulness,usefulness_rationale,blocked_reason
verify-01,R1,elkaix,,,,,,,,
verify-02,R1,elkaix,,,,,,,,
verify-03,R1,elkaix,,,,,,,,
verify-04,R1,elkaix,,,,,,,,
verify-05,R1,elkaix,,,,,,,,
verify-06,R1,elkaix,,,,,,,,
verify-07,R1,elkaix,,,,,,,,
verify-08,R1,elkaix,,,,,,,,
verify-09,R1,elkaix,,,,,,,,
verify-10,R1,elkaix,,,,,,,,
verify-11,R1,elkaix,,,,,,,,
verify-12,R1,elkaix,,,,,,,,
verify-13,R1,elkaix,,,,,,,,
verify-14,R1,elkaix,,,,,,,,
verify-15,R1,elkaix,,,,,,,,
screen-01,R1,elkaix,,,,,,,,
screen-02,R1,elkaix,,,,,,,,
screen-03,R1,elkaix,,,,,,,,
screen-04,R1,elkaix,,,,,,,,
screen-05,R1,elkaix,,,,,,,,
screen-06,R1,elkaix,,,,,,,,
screen-07,R1,elkaix,,,,,,,,
screen-08,R1,elkaix,,,,,,,,
screen-09,R1,elkaix,,,,,,,,
screen-10,R1,elkaix,,,,,,,,
screen-11,R1,elkaix,,,,,,,,
screen-12,R1,elkaix,,,,,,,,
screen-13,R1,elkaix,,,,,,,,
screen-14,R1,elkaix,,,,,,,,
screen-15,R1,elkaix,,,,,,,,
find-01,R1,elkaix,,,,,,,,
find-02,R1,elkaix,,,,,,,,
find-03,R1,elkaix,,,,,,,,
find-04,R1,elkaix,,,,,,,,
find-05,R1,elkaix,,,,,,,,
find-06,R1,elkaix,,,,,,,,
find-07,R1,elkaix,,,,,,,,
find-08,R1,elkaix,,,,,,,,
find-09,R1,elkaix,,,,,,,,
find-10,R1,elkaix,,,,,,,,
find-11,R1,elkaix,,,,,,,,
find-12,R1,elkaix,,,,,,,,
find-13,R1,elkaix,,,,,,,,
find-14,R1,elkaix,,,,,,,,
find-15,R1,elkaix,,,,,,,,
classify-01,R1,elkaix,,,,,,,,
classify-02,R1,elkaix,,,,,,,,
classify-03,R1,elkaix,,,,,,,,
classify-04,R1,elkaix,,,,,,,,
classify-05,R1,elkaix,,,,,,,,
classify-06,R1,elkaix,,,,,,,,
classify-07,R1,elkaix,,,,,,,,
classify-08,R1,elkaix,,,,,,,,
classify-09,R1,elkaix,,,,,,,,
classify-10,R1,elkaix,,,,,,,,
classify-11,R1,elkaix,,,,,,,,
classify-12,R1,elkaix,,,,,,,,
classify-13,R1,elkaix,,,,,,,,
classify-14,R1,elkaix,,,,,,,,
classify-15,R1,elkaix,,,,,,,,
decide-01,R1,elkaix,,,,,,,,
decide-02,R1,elkaix,,,,,,,,
decide-03,R1,elkaix,,,,,,,,
decide-04,R1,elkaix,,,,,,,,
decide-05,R1,elkaix,,,,,,,,
decide-06,R1,elkaix,,,,,,,,
decide-07,R1,elkaix,,,,,,,,
decide-08,R1,elkaix,,,,,,,,
decide-09,R1,elkaix,,,,,,,,
decide-10,R1,elkaix,,,,,,,,
decide-11,R1,elkaix,,,,,,,,
decide-12,R1,elkaix,,,,,,,,
decide-13,R1,elkaix,,,,,,,,
decide-14,R1,elkaix,,,,,,,,
decide-15,R1,elkaix,,,,,,,,
rerank-01,R1,elkaix,,,,,,,,
rerank-02,R1,elkaix,,,,,,,,
rerank-03,R1,elkaix,,,,,,,,
rerank-04,R1,elkaix,,,,,,,,
rerank-05,R1,elkaix,,,,,,,,
rerank-06,R1,elkaix,,,,,,,,
rerank-07,R1,elkaix,,,,,,,,
rerank-08,R1,elkaix,,,,,,,,
rerank-09,R1,elkaix,,,,,,,,
rerank-10,R1,elkaix,,,,,,,,
rerank-11,R1,elkaix,,,,,,,,
rerank-12,R1,elkaix,,,,,,,,
rerank-13,R1,elkaix,,,,,,,,
rerank-14,R1,elkaix,,,,,,,,
rerank-15,R1,elkaix,,,,,,,,
compare-01,R1,elkaix,,,,,,,,
compare-02,R1,elkaix,,,,,,,,
compare-03,R1,elkaix,,,,,,,,
compare-04,R1,elkaix,,,,,,,,
compare-05,R1,elkaix,,,,,,,,
compare-06,R1,elkaix,,,,,,,,
compare-07,R1,elkaix,,,,,,,,
compare-08,R1,elkaix,,,,,,,,
compare-09,R1,elkaix,,,,,,,,
compare-10,R1,elkaix,,,,,,,,
compare-11,R1,elkaix,,,,,,,,
compare-12,R1,elkaix,,,,,,,,
compare-13,R1,elkaix,,,,,,,,
compare-14,R1,elkaix,,,,,,,,
compare-15,R1,elkaix,,,,,,,,
extract-01,R1,elkaix,,,,,,,,
extract-02,R1,elkaix,,,,,,,,
extract-03,R1,elkaix,,,,,,,,
extract-04,R1,elkaix,,,,,,,,
extract-05,R1,elkaix,,,,,,,,
extract-06,R1,elkaix,,,,,,,,
extract-07,R1,elkaix,,,,,,,,
extract-08,R1,elkaix,,,,,,,,
extract-09,R1,elkaix,,,,,,,,
extract-10,R1,elkaix,,,,,,,,
extract-11,R1,elkaix,,,,,,,,
extract-12,R1,elkaix,,,,,,,,
extract-13,R1,elkaix,,,,,,,,
extract-14,R1,elkaix,,,,,,,,
extract-15,R1,elkaix,,,,,,,,
review-01,R1,elkaix,,,,,,,,
review-02,R1,elkaix,,,,,,,,
review-03,R1,elkaix,,,,,,,,
review-04,R1,elkaix,,,,,,,,
review-05,R1,elkaix,,,,,,,,
review-06,R1,elkaix,,,,,,,,
review-07,R1,elkaix,,,,,,,,
review-08,R1,elkaix,,,,,,,,
review-09,R1,elkaix,,,,,,,,
review-10,R1,elkaix,,,,,,,,
review-11,R1,elkaix,,,,,,,,
review-12,R1,elkaix,,,,,,,,
review-13,R1,elkaix,,,,,,,,
review-14,R1,elkaix,,,,,,,,
review-15,R1,elkaix,,,,,,,,
gate-01,R1,elkaix,,,,,,,,
gate-02,R1,elkaix,,,,,,,,
gate-03,R1,elkaix,,,,,,,,
gate-04,R1,elkaix,,,,,,,,
gate-05,R1,elkaix,,,,,,,,
gate-06,R1,elkaix,,,,,,,,
gate-07,R1,elkaix,,,,,,,,
gate-08,R1,elkaix,,,,,,,,
gate-09,R1,elkaix,,,,,,,,
gate-10,R1,elkaix,,,,,,,,
gate-11,R1,elkaix,,,,,,,,
gate-12,R1,elkaix,,,,,,,,
gate-13,R1,elkaix,,,,,,,,
gate-14,R1,elkaix,,,,,,,,
gate-15,R1,elkaix,,,,,,,,
